price,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot
2350000,6,4.25,5550,11547,2.0,0,3,1280,2014,0,98033,47.65472163,-122.20172790000001,3480,11547
839000,3,1.0,1230,12305,1.0,0,3,0,1955,1990,98004,47.60948708,-122.195151,2100,7960
610000,4,3.5,2910,5260,2.0,0,3,0,2012,0,98065,47.51682225,-121.8834085,2910,5260
339950,4,2.5,2150,4000,2.0,0,3,0,2010,0,98038,47.36551666,-122.0176355,1610,4000
1038000,5,2.75,3050,8904,1.0,0,4,1400,1956,0,98040,47.57087327,-122.21433400000001,2920,8904
369000,4,2.5,2550,7349,2.0,0,3,0,1989,0,98023,47.30586446,-122.34879409999999,2400,8508
425000,2,1.0,1300,11080,1.0,0,4,0,1955,0,98034,47.72810466,-122.2329084,1600,9259
865000,5,3.0,2830,8854,1.0,0,4,1330,1979,0,98040,47.57433661,-122.20877479999999,2260,8604
363000,2,2.0,920,1201,2.0,0,3,120,2009,0,98144,47.59262866,-122.2950817,1150,1161
379600,3,1.75,1270,12420,1.0,0,4,0,1962,0,98056,47.53874624,-122.1788466,1560,9910
399000,2,2.0,1110,1155,3.0,0,3,130,2008,0,98136,47.54964139,-122.3877429,1110,1089
305000,3,2.5,1320,2480,2.0,0,3,0,2005,0,98118,47.53600926,-122.2838581,1320,3240
340000,3,1.0,670,23522,1.0,0,4,0,1968,0,98024,47.53286083,-121.89008600000001,1880,20270
463000,3,1.0,1250,7700,1.0,0,4,0,1955,0,98007,47.59742764,-122.1492497,1520,7700
650000,3,2.5,2870,7288,2.0,0,3,0,2012,0,98011,47.77446336,-122.2246711,2870,5998
562000,3,3.0,3290,80471,2.0,0,4,960,1975,0,98070,47.50398781,-122.463834,1830,30494
411100,3,1.5,1040,10323,1.0,0,4,0,1958,0,98005,47.58818065,-122.15509809999999,1580,7200
399950,4,3.0,2150,64694,1.0,0,3,700,1969,0,98023,47.32683811,-122.3884091,2430,59612
218000,3,1.0,1140,7560,1.0,0,4,0,1958,0,98058,47.46240981,-122.185071,1300,7560
600000,3,1.0,1480,17360,1.0,0,3,0,1954,0,98136,47.51793483,-122.3871685,2250,8720
305000,3,1.0,1160,9750,1.0,0,3,0,1967,0,98077,47.74223206,-122.07278670000001,1160,9650
470500,5,2.5,2500,9248,1.0,0,3,1200,1966,0,98006,47.54152116,-122.1801712,2090,8568
250000,3,1.75,1910,10230,1.0,0,4,620,1964,0,98031,47.41854828,-122.20659750000002,1590,10800
1267500,4,3.5,4640,13404,2.0,0,3,0,2007,0,98059,47.53104409,-122.13424479999999,4690,13590
285000,3,1.5,1400,7582,1.0,0,3,0,1956,0,98148,47.45358524,-122.3302274,1280,7872
175000,2,1.0,1160,6911,1.0,0,3,0,1947,0,98125,47.71485297,-122.31827390000001,1120,6948
394950,3,2.5,2050,8172,2.0,0,3,0,2002,0,98168,47.4807932,-122.27963570000001,2140,5664
487000,3,2.0,2590,14052,1.0,0,5,870,1948,0,98133,47.73574341,-122.33302690000001,1570,8162
795127,4,3.25,4360,91158,1.0,0,3,1000,1993,0,98053,47.63984564,-121.98504009999998,3540,90940
635500,3,2.0,1660,3600,1.0,0,3,660,1939,2006,98103,47.67888869,-122.35097140000002,1700,4356
456150,3,2.25,1750,12408,1.0,0,5,600,1962,0,98155,47.75093214,-122.30048970000001,1820,12977
2546000,4,3.0,4190,8805,2.5,0,5,700,1928,0,98112,47.61808819,-122.28360990000002,3780,8558
255000,3,2.5,1530,1116,2.5,0,3,0,2005,0,98028,47.73851911,-122.2496264,1530,7780
525000,3,1.5,1840,10956,1.0,0,4,0,1970,0,98033,47.67459785,-122.1642652,1680,10950
420000,4,2.5,2480,8626,2.0,0,3,0,2001,0,98001,47.31851527,-122.2618408,2990,9033
367999,4,2.75,3430,8000,1.5,0,4,0,1972,0,98023,47.31830962,-122.3824868,2090,8000
455000,5,2.0,1510,3000,2.0,0,3,0,1983,0,98122,47.60290539,-122.3040534,1610,3600
852000,3,3.0,2400,4000,2.0,0,3,540,1905,0,98102,47.62884912,-122.32068410000001,1750,3940
284700,3,1.0,1700,8645,1.0,0,3,0,1955,0,98146,47.48993509,-122.33662439999999,1500,7980
397000,5,1.0,1170,6757,1.0,0,4,370,1944,0,98125,47.73322301,-122.30389209999998,1590,6794
290000,2,1.0,1120,217800,1.0,0,3,0,1976,0,98019,47.73784417,-121.9117094,1480,217800
387000,2,2.25,1230,1280,2.0,0,3,270,2012,0,98144,47.59415684,-122.29815259999998,1130,1357
500000,4,3.0,3720,15048,3.0,0,3,0,1979,2014,98059,47.51162227,-122.14350929999999,2020,15180
1800000,3,3.25,5290,224442,2.0,0,4,750,1988,0,98053,47.66712168,-122.0505272,3750,84936
254000,3,2.5,1560,10608,2.0,0,3,0,1994,0,98042,47.35722463,-122.16076670000001,1360,10608
299950,3,1.0,1580,5250,1.0,0,5,0,1954,0,98056,47.49641269,-122.16843519999999,1180,5940
280000,3,1.75,1740,8625,1.0,0,4,500,1978,0,98023,47.30544457,-122.3801696,1980,8625
515000,2,2.25,2690,15000,1.0,0,3,820,1987,0,98023,47.33607696,-122.3526375,2690,15000
631625,4,2.5,2440,6651,2.0,0,3,0,2014,0,98117,47.69705527,-122.37066399999999,1350,7653
392440,4,2.5,2547,4800,2.0,0,3,0,2014,0,98092,47.259236200000004,-122.19443319999999,2598,4800
355000,3,2.25,1280,959,3.0,0,3,0,2005,0,98103,47.69140572,-122.3428006,1130,1126
401000,3,1.0,1120,8321,1.0,0,4,0,1941,1987,98027,47.563052500000005,-122.0911386,1980,8671
164000,4,1.0,1530,4875,2.0,0,3,0,1977,0,98042,47.36381484,-122.09142800000001,1470,4875
265000,2,1.0,940,9458,1.0,0,3,0,1948,0,98155,47.75230335,-122.311171,1450,9458
485000,3,2.25,2900,35273,2.0,0,3,0,1986,0,98038,47.40130771,-122.0303622,2510,38487
1003000,4,2.75,2290,6120,2.0,0,4,120,1926,0,98115,47.67460704,-122.3267033,1910,4590
439000,2,1.75,1620,113862,1.5,0,3,0,1995,0,98045,47.4820598,-121.7188092,1560,54806
558000,2,2.0,1580,5750,1.0,0,5,790,1910,0,98116,47.56679951,-122.3844635,1580,5750
780000,4,2.5,2270,13449,1.0,0,4,960,1975,0,98040,47.54156869,-122.2320879,2810,13475
660000,4,1.5,1960,4500,1.5,0,3,0,1922,0,98117,47.67970406,-122.3591435,1960,4500
185000,4,1.0,1760,8906,1.0,0,3,530,1966,0,98055,47.42877639,-122.19806559999999,1180,10407
360000,3,2.0,1630,10723,1.0,0,5,0,1959,0,98059,47.4898455,-122.132702,1450,10723
936000,7,3.75,5100,21802,2.0,0,3,1460,2001,0,98075,47.59504942,-122.04009309999999,3350,10005
359000,4,2.5,2160,4500,2.0,0,3,0,2002,0,98056,47.48190195,-122.1821478,2160,4496
451000,3,1.75,1560,4049,1.5,0,3,560,1926,0,98126,47.56660601,-122.3750979,1430,3738
465000,3,2.5,2050,15035,2.0,0,3,0,2006,0,98042,47.36194029,-122.1217997,1300,15836
305000,3,1.75,1650,9480,1.0,0,3,430,1977,0,98034,47.725963799999995,-122.1907672,1540,8400
634000,3,1.75,2570,13000,2.0,0,4,0,1962,0,98177,47.77045508,-122.3708888,2570,8521
890000,4,2.5,2930,9158,2.0,0,3,0,2005,0,98052,47.70654154,-122.1296466,3590,8065
571000,3,2.5,2510,5186,2.0,0,3,0,2001,0,98053,47.68947360000001,-122.04148400000001,2530,5186
449950,4,2.5,3100,10000,2.0,0,3,0,1978,0,98042,47.3740716,-122.149946,1850,9438
264500,3,2.25,1370,7087,2.0,0,3,0,1993,0,98038,47.35040489,-122.0348461,1400,6600
2271150,4,3.25,4040,18916,1.0,0,4,0,1954,0,98039,47.61553701,-122.237752,3000,18831
700000,3,3.5,3030,11550,2.0,0,3,0,1971,2011,98146,47.50514573,-122.3812577,2340,10560
379000,3,2.5,1500,7420,1.0,0,3,500,1972,0,98034,47.72364909,-122.174199,1840,7272
513000,4,2.5,2000,5684,2.0,0,3,0,1996,0,98028,47.74433315,-122.2202232,2210,7066
525000,3,2.25,1750,1879,3.0,0,3,0,2001,0,98107,47.67218002,-122.3909903,1750,3155
638500,4,2.5,1980,6568,2.0,0,3,0,2004,0,98052,47.70399714,-122.10103390000002,2310,6496
340000,3,2.75,1720,28000,1.0,0,4,0,1958,0,98058,47.43754762,-122.17637649999999,2000,41817
390000,3,2.5,1640,6991,1.0,0,3,530,1967,0,98125,47.72550101,-122.3266082,1860,7342
793000,4,2.5,2450,4080,1.5,0,4,960,1930,0,98115,47.68987507,-122.31873200000001,2000,4080
322400,3,1.75,1710,15844,1.0,0,4,0,1964,0,98059,47.47063706,-122.09968300000001,1990,20359
825000,5,1.75,2330,6000,1.5,0,3,250,1937,0,98199,47.64611186,-122.39190409999999,2150,6000
815000,4,2.25,2000,3800,2.0,0,3,0,2001,0,98115,47.68516591,-122.3107284,1610,3800
275000,4,1.0,1080,26114,1.5,0,5,0,1900,0,98030,47.38343656,-122.2149615,1720,20360
1250000,4,2.5,3700,21755,1.0,0,3,1080,1988,0,98006,47.56623881,-122.1084362,3480,13786
249950,2,1.0,940,8532,1.0,0,4,0,1959,0,98166,47.481406,-122.34282749999998,1050,8100
279900,3,1.0,1400,10800,1.0,0,3,0,1962,0,98034,47.718976,-122.20162959999999,1430,10000
780000,3,2.0,2610,6000,1.0,0,5,1300,1941,0,98115,47.67497112,-122.2894723,2330,4800
407500,3,2.5,1930,10460,2.0,0,3,0,1996,0,98059,47.49379499,-122.16144720000001,2290,8228
998000,4,3.25,3770,982998,2.0,0,3,0,1992,0,98058,47.4139726,-122.08716059999999,2290,37141
878000,4,2.5,3480,13421,2.0,0,3,0,1995,0,98027,47.55039786,-122.0967368,3290,9642
672500,4,2.5,3470,6651,2.0,0,3,0,2005,0,98065,47.54258321,-121.87878329999998,2730,6179
220000,3,2.5,1980,11900,2.0,0,3,0,1990,0,98092,47.26558918,-122.21659960000001,2130,9933
870000,3,2.5,3210,8630,2.0,0,4,680,1990,0,98033,47.69389069,-122.18940900000001,2630,8630
305000,2,1.0,1210,7140,1.5,0,3,0,1921,0,98133,47.72253689,-122.34864240000002,1150,7376
300000,4,1.75,2080,8750,1.0,0,4,750,1967,0,98032,47.37490803,-122.29084180000001,1790,8750
345000,3,1.75,1860,7191,1.0,0,4,600,1975,0,98058,47.43376964,-122.16798100000001,1850,7490
251000,3,1.75,1220,7250,1.0,0,3,0,1962,0,98045,47.48867808,-121.7838285,1700,15251
550000,3,1.0,880,6664,1.0,0,3,0,1961,0,98033,47.68545397,-122.19897990000001,1690,6564
235000,3,1.75,1380,8362,1.0,0,3,0,1967,0,98003,47.31212535,-122.3229196,1380,8800
417500,2,1.0,1330,5510,1.0,0,3,480,1910,0,98117,47.69006831,-122.36249409999999,1200,4150
1600000,3,4.25,2820,7200,2.0,0,4,360,1930,0,98112,47.62978632,-122.2896374,3300,7522
532000,3,3.75,2260,2050,2.0,0,3,1090,2010,0,98118,47.56602181,-122.29018490000001,2130,3082
285000,3,1.0,1120,10701,1.0,0,3,0,1954,0,98106,47.55439439999999,-122.35796770000002,1130,6350
470000,3,1.5,1510,8000,1.0,0,4,0,1956,0,98007,47.58648235,-122.13497949999999,1430,8000
403000,3,1.0,1500,10730,1.0,0,3,500,1977,0,98053,47.63853087,-121.9656596,1570,12210
339995,4,2.5,2180,5367,2.0,0,3,0,2000,0,98038,47.37752558,-122.0222794,2180,5130
350000,2,1.0,1430,8157,1.5,0,3,280,1944,0,98177,47.72557296,-122.36134399999999,1820,8157
199950,2,1.0,1010,10057,1.0,0,3,0,1961,0,98023,47.3286211,-122.3363719,1040,8591
324000,4,1.75,2110,7208,1.0,0,3,940,1975,0,98058,47.44641693,-122.12945239999999,1820,7208
760000,4,2.75,3980,285318,2.0,0,3,0,2006,0,98045,47.48028859,-121.7949156,2100,105415
446000,4,2.0,1940,6350,1.0,0,4,970,1951,0,98103,47.69478552,-122.35695790000001,960,6350
1290000,4,2.5,3430,7200,2.0,0,3,0,2014,0,98033,47.68417456,-122.19627129999999,1530,7800
1599950,5,4.5,5130,43123,2.0,0,3,0,1996,0,98006,47.54404441,-122.12621399999999,4670,43560
1600000,5,2.5,3100,5374,2.5,0,4,0,1906,0,98122,47.61542691,-122.2828399,2180,5800
260000,3,2.25,1950,9600,1.0,0,4,750,1987,0,98092,47.27620349,-122.14800559999999,1760,8850
253000,3,1.0,1580,8240,1.0,0,4,540,1978,0,98030,47.35419938,-122.18116450000001,1480,9200
648000,4,2.25,2170,8240,2.0,0,4,0,1983,0,98006,47.5634445,-122.12772520000001,2600,9898
170500,3,1.0,1640,13939,1.0,0,3,600,1960,0,98198,47.39469863,-122.312522,2080,13000
255000,3,2.75,1900,16117,1.0,0,4,0,1958,0,98001,47.314372999999996,-122.27792649999999,1640,19166
2200000,3,2.0,3570,30456,1.0,0,3,1500,1946,1982,98039,47.64126121,-122.2395553,3570,27418
415000,2,1.0,880,3200,1.0,0,3,0,1910,1970,98199,47.65747859,-122.4015163,1880,6000
744000,4,2.5,3140,7260,2.0,0,3,940,2004,0,98006,47.56640182,-122.1238257,2860,8186
443725,3,1.75,1250,3880,1.0,0,4,500,1944,0,98117,47.68691494,-122.3916078,1240,3880
379900,4,2.5,3181,5831,2.0,0,3,0,2014,0,98003,47.27156787,-122.2974794,2056,24393
343500,3,2.5,1900,5194,2.0,0,3,0,2004,0,98058,47.43905927,-122.1169535,2230,5194
667500,4,3.0,1920,4000,1.5,0,4,380,1931,0,98116,47.57182275,-122.3853782,1660,4000
710000,4,3.5,2850,2910,2.0,0,3,880,1905,1996,98115,47.68552576,-122.32068159999999,1460,3880
330000,5,2.75,2390,6282,1.0,0,4,1100,1966,0,98118,47.51490701,-122.26346629999999,1690,5202
550700,2,2.25,1190,1499,2.0,0,3,90,2004,0,98105,47.66656246,-122.28524490000001,1430,1332
722000,4,2.75,3190,5408,2.0,0,3,0,2005,0,98075,47.59027223,-121.98843049999999,3160,5773
370000,4,1.0,1540,9541,1.5,0,4,0,1961,0,98034,47.71037666,-122.21253259999999,1290,9541
690000,3,1.75,1600,4400,1.0,0,3,570,1941,0,98112,47.63484256,-122.28059569999999,2150,4000
260000,3,1.75,1750,11180,1.0,0,3,0,1968,0,98059,47.47130382,-122.11749990000001,1730,11180
225000,3,2.0,1320,5665,1.0,0,3,0,1986,0,98023,47.30959518,-122.3568514,1336,7080
419000,4,1.5,2150,23568,1.0,0,4,0,1950,0,98166,47.45219062,-122.35498290000001,2150,10125
255000,3,1.75,1590,7810,1.0,0,4,0,1959,0,98002,47.29324555,-122.22005490000001,1470,7810
246000,4,2.0,1400,7632,1.5,0,5,0,1930,0,98166,47.462451200000004,-122.3454623,1400,7632
440000,3,2.5,1390,4997,2.0,0,3,0,2004,0,98065,47.5303355,-121.8549709,2340,4125
570000,6,3.75,4000,6015,2.0,0,3,920,2004,0,98058,47.45300596,-122.1181187,3180,5700
850000,3,2.5,2340,1919,2.0,0,4,0,1981,0,98033,47.65123268,-122.20254409999998,2415,2166
359950,4,2.5,2542,6120,2.0,0,3,0,2014,0,98030,47.37507423,-122.18826440000001,2419,8984
249000,4,2.25,1860,9576,1.0,0,3,460,1962,0,98032,47.36116632,-122.2844758,1860,9576
479000,3,1.0,1340,13750,1.0,0,4,0,1955,0,98006,47.57714114,-122.1514243,1430,11400
300000,3,2.5,2080,9827,2.0,0,3,0,1989,0,98023,47.30578412,-122.39360400000001,2660,9861
485500,4,2.5,2320,3974,2.0,0,3,0,1999,0,98065,47.53197333,-121.8795768,2620,4539
567035,3,2.0,2064,46173,2.0,0,5,0,1903,0,98070,47.44693137,-122.45485259999998,1640,21780
1378600,5,3.25,3450,6360,2.0,0,5,1590,1905,0,98122,47.61332713,-122.2874807,2310,5000
425000,3,2.5,1800,14036,2.0,0,3,0,1993,0,98019,47.73343433,-121.96980549999999,2450,14025
325000,3,2.5,2000,7205,2.0,0,3,0,1998,0,98003,47.34993579,-122.30238190000001,2180,7611
818000,4,2.5,4020,44431,2.0,0,3,0,1987,0,98072,47.74670855,-122.13228640000001,3440,52900
200000,3,2.0,1010,7896,1.0,0,3,0,1984,0,98031,47.40459714,-122.18122920000002,1540,7896
126000,1,1.0,610,4400,1.0,0,3,0,1922,0,98055,47.48648102,-122.1971121,1090,4930
367000,2,1.0,700,2334,1.0,0,3,0,1945,0,98117,47.70103833,-122.38983200000001,2300,5000
194900,2,1.0,810,6697,1.0,0,4,0,1923,0,98002,47.30574798,-122.21648799999998,1140,6695
339950,4,2.25,2670,9040,1.0,0,3,500,1955,0,98148,47.46663697,-122.3262534,1880,2648
575000,2,1.75,1230,5418,1.0,0,3,240,1949,0,98117,47.68385698,-122.3757291,1330,5074
1160000,5,1.75,2870,9680,1.0,0,5,1430,1966,0,98008,47.61217535,-122.1112285,2940,9729
965000,4,2.5,3920,41206,2.0,0,4,0,1988,0,98072,47.73253447,-122.13178049999999,3780,36562
455000,3,1.75,1420,1189,3.0,0,3,0,2006,0,98103,47.66245668,-122.35225759999999,1380,1196
1300000,4,2.5,3110,11857,2.0,0,3,1070,1990,0,98117,47.69519952,-122.4018136,3110,11570
1145000,4,3.5,4370,18361,2.0,0,3,0,2001,0,98065,47.54399937,-121.87187970000001,4190,13641
350000,3,1.75,2130,7500,1.0,0,4,1040,1956,0,98166,47.45934628,-122.343231,1590,7500
930000,4,3.0,2900,10400,1.0,0,5,1370,1959,0,98008,47.58539516,-122.11425759999999,2820,10400
652500,4,2.5,2540,38677,2.0,0,3,0,1987,0,98053,47.66935839,-122.0442483,2560,36280
425000,3,2.5,1230,23522,1.0,0,4,0,1978,0,98059,47.51500844,-122.16223600000001,2340,23522
335000,2,1.0,1410,7000,1.0,0,3,0,1968,0,98055,47.4907891,-122.2227446,1540,6000
1000000,5,3.0,3350,9450,2.0,0,5,1170,1912,1980,98103,47.67053155,-122.33954540000002,2660,4500
392500,3,1.0,930,6572,1.0,0,3,0,1952,0,98115,47.68888277,-122.30128640000001,960,5840
305000,4,2.5,2250,9091,1.0,0,3,910,1982,0,98001,47.33599598,-122.26949750000001,1540,7802
513000,3,2.25,1500,1312,3.0,0,3,0,2007,0,98103,47.65343022,-122.3457405,1500,1282
226000,3,1.0,1520,7200,1.0,0,3,490,1954,0,98166,47.45273359,-122.3523419,1530,7201
250000,5,1.5,2520,5753,1.5,0,4,1010,1928,0,98022,47.20575674,-121.99702040000001,1620,6875
450000,3,2.75,1250,892,2.0,0,3,210,2010,0,98116,47.5825532,-122.38748700000001,1250,1296
406000,4,1.0,1580,8475,1.5,0,4,0,1928,0,98178,47.51041146,-122.2539209,1700,5650
425000,4,2.25,2200,8384,1.0,0,3,950,1959,0,98155,47.75303217,-122.3169979,1750,8384
277700,2,1.5,1240,1055,2.0,0,3,40,1967,0,98008,47.61041494,-122.1119067,1410,1340
760000,4,2.5,3600,155509,2.0,0,3,0,2004,0,98010,47.35383476,-121.98643870000001,3410,34412
380000,5,2.5,2130,8428,2.0,0,3,0,2013,0,98168,47.47260582,-122.2818678,1500,11810
237000,3,1.5,1800,9216,1.0,0,4,0,1950,0,98001,47.2739277,-122.24868070000001,1400,10022
316500,3,1.75,1460,6360,1.0,0,3,450,1979,0,98106,47.53107956,-122.35303970000001,1400,4240
280000,3,2.25,1360,9600,2.0,0,3,0,1992,0,98045,47.46872916,-121.7493538,1200,10400
400000,2,1.0,920,5120,1.0,0,5,0,1952,0,98136,47.55691491,-122.3939085,1190,5120
715000,4,1.75,3420,7200,1.0,0,5,1650,1947,0,98125,47.70809739,-122.2767913,2450,6200
562000,5,2.25,3040,8111,2.0,0,3,0,1984,0,98052,47.71567825,-122.103254,2020,8304
439500,3,2.5,1600,6510,1.0,0,3,660,1983,0,98155,47.76790829,-122.3080585,1600,10507
425000,3,1.75,1530,9800,1.0,0,5,0,1958,0,98133,47.76547289,-122.3360946,1660,9800
580000,2,1.0,1040,3200,1.0,0,3,0,1926,0,98103,47.65584138,-122.3344381,1890,4000
330000,3,2.25,1440,5150,2.0,0,3,0,1997,0,98106,47.54556697,-122.35572240000002,1530,5238
299000,3,1.0,1390,9624,1.5,0,4,0,1954,0,98155,47.77584238,-122.30071640000001,1440,9624
971000,5,3.5,4390,10140,2.0,0,3,1040,2005,0,98125,47.71744904,-122.2822903,2010,8400
303500,6,4.5,3390,7200,2.0,0,3,950,2007,0,98118,47.52046183,-122.28799850000001,2040,7214
392800,3,2.0,1080,11856,1.0,0,5,0,1986,0,98033,47.69545009,-122.174899,1220,9247
260000,3,1.0,1910,8710,1.0,0,3,830,1954,0,98168,47.50384232,-122.3004912,1460,8944
570000,3,1.5,1300,7287,1.0,0,4,0,1965,0,98033,47.68887454,-122.18731909999998,1300,9129
1430000,3,2.0,1890,12017,1.0,0,3,0,1949,0,98004,47.62027838,-122.2099612,2000,12210
200000,4,2.0,2090,6630,1.0,0,3,1020,1974,0,98178,47.5077079,-122.2682811,1550,7980
295000,3,1.5,720,7450,1.0,0,1,0,1924,0,98126,47.58397518,-122.3751626,2600,7360
1364000,4,2.5,3560,8960,2.0,0,3,0,2001,0,98033,47.69025968,-122.2134055,1660,7680
414000,2,1.0,800,5000,1.0,0,3,0,1938,0,98055,47.49139327,-122.20419620000001,1220,5000
328000,3,2.5,2242,4800,2.0,0,3,0,2013,0,98092,47.25812331,-122.19989309999998,2009,4800
535000,2,1.0,920,9000,1.0,0,1,0,1954,0,98033,47.68305341,-122.18902859999999,1760,8400
480000,5,2.5,2732,9500,1.0,0,4,862,1975,0,98003,47.34362736,-122.32262140000002,2720,10000
210000,3,1.0,1110,7962,1.0,0,3,0,1962,0,98146,47.50349328,-122.36017290000001,1200,8094
566000,3,2.5,1560,5259,2.0,0,3,0,1999,0,98075,47.59851462,-122.015854,2170,5461
335000,6,2.0,2020,7071,1.0,0,3,1010,1979,0,98108,47.53292355,-122.29368190000001,2020,5000
450000,2,1.75,1250,2890,1.0,0,4,460,1920,0,98103,47.67948212,-122.3529375,1500,3225
480000,3,2.0,1580,7400,1.0,0,3,530,1977,0,98052,47.67145302,-122.16185259999999,1560,7458
196000,3,2.25,1510,9600,1.0,0,1,420,1966,0,98028,47.775797,-122.23765690000002,1870,10681
389800,3,1.75,1880,12821,1.0,0,3,0,1959,0,98155,47.76806143,-122.304547,1540,12868
541100,4,2.25,2510,9800,2.0,0,3,0,1978,0,98072,47.7529696,-122.1453669,2440,11000
335000,3,2.25,2060,47318,1.0,0,4,460,1976,0,98001,47.27583534,-122.2645736,1870,19663
550000,4,1.75,2410,8447,2.0,0,4,350,1936,1980,98074,47.64990089,-122.08826040000001,2520,14789
350000,3,2.5,1970,3655,2.0,0,3,0,2003,0,98019,47.74534156,-121.9836713,1970,2952
450000,4,2.5,2450,20348,1.0,0,3,1040,1978,0,98075,47.588675099999996,-122.06393870000001,2450,50094
725000,4,2.25,2880,8882,2.0,0,4,400,1965,0,98115,47.69986169,-122.2841622,2460,9610
312891,5,3.0,2300,8214,2.0,0,3,0,2013,0,98001,47.30520973,-122.27645679999999,2594,4950
805000,4,2.5,3960,38615,2.0,0,3,0,2000,0,98077,47.72486678,-122.0235433,3290,43560
310000,2,1.0,700,3000,1.0,0,4,0,1918,0,98103,47.68459939,-122.34577820000001,1560,4500
230000,3,2.25,1490,8722,2.0,0,3,0,1997,0,98030,47.36479717,-122.1853095,1510,8061
1200688,5,3.0,3640,28531,2.0,0,3,0,1996,0,98006,47.5502465,-122.1304763,3330,17186
585000,5,3.5,3180,40946,1.0,0,3,1490,1968,0,98075,47.58332093,-122.0727581,2430,29620
375000,2,1.0,1230,1820,2.0,0,4,400,1948,0,98107,47.66843122,-122.4013208,1660,3056
1288000,5,4.0,4050,11358,2.0,0,4,1270,1980,0,98040,47.55998024,-122.2253426,3120,13555
289900,3,1.75,1899,11325,2.0,0,3,0,1943,2005,98198,47.39873522,-122.29966029999999,2000,10454
1184000,4,2.5,3200,7500,1.5,0,5,1340,1948,0,98115,47.68257397,-122.2739962,2500,6500
152275,1,1.0,1020,6871,1.0,0,3,0,1937,1946,98146,47.50506431,-122.3380352,1260,6933
455000,2,1.0,910,5759,1.0,0,3,0,1951,0,98125,47.71530231,-122.28364429999999,1520,7518
576000,3,1.0,1140,5395,1.0,0,4,130,1909,0,98115,47.67821828,-122.305536,1700,5376
239900,2,1.0,910,9000,1.0,0,4,0,1983,0,98045,47.4463432,-121.7709976,1410,9440
875000,4,2.25,3720,12384,1.0,0,5,1860,1970,0,98075,47.58357328,-122.0735572,3180,15541
176250,4,2.0,1440,6702,1.0,0,4,0,1966,0,98002,47.30556361,-122.2171881,1030,6702
255950,3,2.5,1720,3676,2.0,0,3,0,1992,0,98031,47.4038519,-122.18833490000002,1720,3510
530000,4,2.75,2450,15002,1.0,0,5,0,1974,0,98166,47.42676511,-122.34323970000001,2650,15055
845000,4,2.75,4070,115434,2.0,0,3,0,2002,0,98045,47.48434407,-121.7523338,2970,95832
564500,4,2.25,1950,6000,1.0,0,3,600,1961,0,98115,47.69089704,-122.3012527,1980,6000
206325,5,2.5,1720,10202,1.5,0,3,0,1970,0,98058,47.45723725,-122.1674305,1720,8478
357000,3,2.0,2460,53882,1.0,1,3,0,1955,0,98198,47.38109416,-122.3247663,2660,32625
637800,4,1.75,2250,4750,1.5,0,4,830,1924,0,98115,47.67383259,-122.291886,1930,4750
